pmid,nct_id,reference_type,citation_count
20061360,NCT00000620,one-to-one,142
20079528,NCT00391872,one-to-one,113
20079528,NCT00391872,one-to-one,113
20096136,NCT00713843,one-to-one,5
20096136,NCT00713843,one-to-one,5
20130232,NCT00159835,one-to-one,7
20130232,NCT00327691,one-to-one,7
20130232,NCT00327691,one-to-one,7
20147875,NCT00439764,one-to-one,17
20147875,NCT00439764,one-to-one,17
20156608,NCT00747838,one-to-one,18
20156608,NCT00747838,one-to-one,18
20160654,NCT00244621,one-to-one,11
20173748,NCT00292552,one-to-one,189
20175410,NCT00089752,one-to-one,24
20175410,NCT00089752,one-to-one,24
20175775,NCT00313196,one-to-one,47
20175775,NCT00360087,one-to-one,47
20194866,NCT00349349,one-to-one,172
20215456,NCT00000620,one-to-one,129
20215456,NCT00000620,one-to-one,129
20216301,NCT00027352,one-to-one,14
20227758,NCT00607373,one-to-one,219
20227758,NCT00607373,one-to-one,219
20228401,NCT00000620,one-to-one,810
20228401,NCT00000620,one-to-one,810
20228404,NCT00000620,one-to-one,625
20228404,NCT00000620,one-to-one,625
20231536,NCT00153101,one-to-one,37
20398351,NCT00872469,one-to-one,49
20400102,NCT02072590,one-to-one,44
20408846,NCT00093314,one-to-one,15
20427682,NCT00000620,one-to-one,135
20427682,NCT00000620,one-to-one,135
20446945,NCT00716079,one-to-one,33
20446945,NCT00716079,one-to-one,33
20446945,NCT00716079,one-to-one,33
20446946,NCT00059306,one-to-one,12
20446946,NCT00059306,one-to-one,12
20467151,NCT00242944,one-to-one,25
20467151,NCT00242944,one-to-one,25
20467286,NCT00001137,one-to-one,37
20479938,NCT01909414,one-to-one,27
20508186,NCT00390962,one-to-one,20
20508186,NCT00390962,one-to-one,20
20533546,NCT00798369,one-to-one,76
20550701,NCT00292552,one-to-one,46
20551371,NCT00047437,one-to-one,18
20554982,NCT00164736,one-to-one,202
20566896,NCT00171821,one-to-one,18
20571135,NCT00000620,one-to-one,2
20571135,NCT00000620,one-to-one,2
20587587,NCT00000620,one-to-one,316
20587587,NCT00000620,one-to-one,316
20594588,NCT00000620,one-to-one,358
20594588,NCT00000620,one-to-one,358
20598967,NCT00699998,one-to-one,30
20598967,NCT00699998,one-to-one,30
20606150,NCT00133692,one-to-one,174
20617176,NCT00055120,one-to-one,53
20619242,NCT00763893,one-to-one,17
20619242,NCT00763893,one-to-one,17
20624650,NCT01830673,one-to-one,31
20633818,NCT00389220,one-to-one,34
20647200,NCT00395135,one-to-one,241
20647200,NCT00395135,one-to-one,241
20647575,NCT00935077,one-to-one,24
20656636,NCT02639988,one-to-one,50
20658749,NCT00027352,one-to-one,7
20663131,NCT01061931,one-to-one,1
20663131,NCT01061931,one-to-one,1
20678673,NCT00478205,one-to-one,53
20684825,NCT00242944,one-to-one,5
20684825,NCT00242944,one-to-one,5
20709820,NCT00292552,one-to-one,56
20738227,NCT00658515,one-to-one,5
20805430,NCT00391872,one-to-one,70
20805430,NCT00391872,one-to-one,70
20812949,NCT00004978,one-to-one,2
20817281,NCT00335452,one-to-one,153
20817281,NCT00335452,one-to-one,153
20817281,NCT00335452,one-to-one,153
20818903,NCT00335452,one-to-one,126
20818903,NCT00335452,one-to-one,126
20818903,NCT00335452,one-to-one,126
20823381,NCT00226096,one-to-one,19
20823381,NCT00226096,one-to-one,19
20823381,NCT00226096,one-to-one,19
20837881,NCT00542503,one-to-one,41
20837897,NCT00145119,one-to-one,38
20837897,NCT00145119,one-to-one,38
20843247,NCT00292552,one-to-one,767
20843990,NCT00140751,one-to-one,16
20846604,NCT00390962,one-to-one,14
20846604,NCT00390962,one-to-one,14
20855799,NCT00381303,one-to-one,38
20860820,NCT01187056,one-to-one,3
20860820,NCT01187056,one-to-one,3
20863951,NCT00743925,one-to-one,19
20863951,NCT00743925,one-to-one,19
20889909,NCT00292552,one-to-one,76
20942667,NCT00307151,one-to-one,119
20956208,NCT00534651,one-to-one,40
20961243,NCT00530894,one-to-one,1012
20970896,NCT00167700,one-to-one,35
20970896,NCT00167700,one-to-one,35
20980201,NCT00153101,one-to-one,47
21060072,NCT00391872,one-to-one,92
21060072,NCT00391872,one-to-one,92
21060320,NCT00707811,one-to-one,170
21060320,NCT00968669,one-to-one,170
21060320,NCT00707811,one-to-one,170
21070885,NCT01061931,one-to-one,4
21070885,NCT01061931,one-to-one,4
21071497,NCT00171821,one-to-one,24
21073365,NCT00251251,one-to-one,302
21091279,NCT00458393,one-to-one,-1
21093611,NCT00145119,one-to-one,19
21093611,NCT00145119,one-to-one,19
21098449,NCT00533039,one-to-one,3
21146279,NCT00449969,one-to-one,19
21150563,NCT00903682,one-to-one,8
21156931,NCT00133692,one-to-one,12
21183746,NCT00563901,one-to-one,11
21183746,NCT00563901,one-to-one,11
21185503,NCT00327691,one-to-one,13
21185503,NCT00327691,one-to-one,13
21200437,NCT00153101,one-to-one,5
21205944,NCT00389220,one-to-one,10
21216880,NCT00292552,one-to-one,34
21245726,NCT00027352,one-to-one,19
21263104,NCT00153101,one-to-one,31
21300952,NCT00089895,one-to-one,6
21300952,NCT00089895,one-to-one,6
21303529,NCT00566930,one-to-one,15
21303529,NCT00566930,one-to-one,15
21334433,NCT00791648,one-to-one,56
21334433,NCT00791648,one-to-one,56
21357275,NCT00810732,one-to-one,43
21357827,NCT00153101,one-to-one,33
21366473,NCT00000620,one-to-one,280
21366473,NCT00000620,one-to-one,280
21371282,NCT00059306,one-to-one,66
21371282,NCT00059306,one-to-one,66
21372283,NCT00133692,one-to-one,13
21393027,NCT00292552,one-to-one,40
21419704,NCT00643890,one-to-one,188
21436711,NCT00870363,one-to-one,64
21439048,NCT00798369,one-to-one,32
21473965,NCT01178060,one-to-one,18
21473965,NCT01178060,one-to-one,18
21481577,NCT00292552,one-to-one,28
21498674,NCT00410163,one-to-one,41
21504563,NCT00976118,one-to-one,37
21545948,NCT00391872,one-to-one,21
21545948,NCT00391872,one-to-one,21
21546436,NCT00159887,one-to-one,52
21546491,NCT00235495,one-to-one,22
21546491,NCT00235495,one-to-one,22
21546491,NCT00235495,one-to-one,22
21555815,NCT00027352,one-to-one,7
21566232,NCT00119717,one-to-one,25
21566232,NCT00119717,one-to-one,25
21593355,NCT00167700,one-to-one,4
21593355,NCT00167700,one-to-one,4
21612646,NCT00478205,one-to-one,23
21613427,NCT00170326,one-to-one,14
21618201,NCT00559585,one-to-one,57
21639811,NCT00530894,one-to-one,889
21641348,NCT00047437,one-to-one,2
21659435,NCT00714740,one-to-one,16
21659435,NCT00714740,one-to-one,16
21659657,NCT00292552,one-to-one,41
21663644,NCT00000620,one-to-one,10
21663644,NCT00000620,one-to-one,10
21676990,NCT00464464,one-to-one,57
21680850,NCT00922311,one-to-one,12
21685187,NCT00292552,one-to-one,45
21685437,NCT00391872,one-to-one,42
21685437,NCT00391872,one-to-one,42
21689411,NCT00478205,one-to-one,9
21690592,NCT00237692,one-to-one,58
21709065,NCT00391872,one-to-one,61
21709065,NCT00391872,one-to-one,61
21714604,NCT00483808,one-to-one,4
21716073,NCT00708110,one-to-one,61
21727288,NCT00371384,one-to-one,41
21727288,NCT00371384,one-to-one,41
21740078,NCT01135212,one-to-one,3
21740078,NCT01258673,one-to-one,3
21747013,NCT00237692,one-to-one,63
21768536,NCT00389220,one-to-one,20
21771823,NCT01185392,one-to-one,18
21778120,NCT00292552,one-to-one,57
21788624,NCT00153101,one-to-one,9
21799173,NCT00130039,one-to-one,29
21799173,NCT00130039,one-to-one,29
21799173,NCT00130039,one-to-one,29
21809337,NCT00908245,one-to-one,14
21812576,NCT00390962,one-to-one,2
21812576,NCT00390962,one-to-one,2
21821865,NCT00122382,one-to-one,30
21844482,NCT00483808,one-to-one,127
21844490,NCT00237692,one-to-one,15
21846154,NCT00219102,one-to-one,4
21848574,NCT00903747,one-to-one,21
21851904,NCT00389220,one-to-one,8
21852153,NCT00604630,one-to-one,3
21852153,NCT00604630,one-to-one,3
21852153,NCT00604630,one-to-one,3
21856867,NCT00349349,one-to-one,57
21857489,NCT00027352,one-to-one,26
21861537,NCT00986154,one-to-one,27
21879896,NCT00394706,one-to-one,55
21879897,NCT00394706,one-to-one,50
21884592,NCT01083563,one-to-one,25
21884592,NCT01083563,one-to-one,25
21884874,NCT00145119,one-to-one,2
21884874,NCT00145119,one-to-one,2
21886816,NCT00159224,one-to-one,5
21899409,NCT00059306,one-to-one,366
21899409,NCT00059306,one-to-one,366
21921092,NCT00292552,one-to-one,14
21937568,NCT00513656,one-to-one,48
21937568,NCT00513656,one-to-one,48
21945174,NCT00167700,one-to-one,14
21945174,NCT00167700,one-to-one,14
