"nct_id","citationSum","citationAvg"
"NCT00908037",37,18.5
"NCT00908245",14,14
"NCT00913458",83,16.6
"NCT00914095",65,21.6666666666667
"NCT00922311",12,12
"NCT00924105",22,22
"NCT00924651",27,13.5
"NCT00929864",216,36
"NCT00935077",108,13.5
"NCT00942188",8,8
"NCT00945698",77,8.55555555555556
"NCT00962832",116,58
"NCT00964847",5,2.5
"NCT00967876",43,14.3333333333333
"NCT00968669",200,100
"NCT00970866",196,10.8888888888889
"NCT00976118",37,37
"NCT00976404",12,12
"NCT00978237",0,0
"NCT00979199",61,30.5
"NCT00986154",449,64.1428571428571
"NCT00988780",22,11
"NCT00995657",14,7
"NCT01007721",15,15
"NCT01009606",62,20.6666666666667
"NCT01010789",3,3
"NCT01013753",1,1
"NCT01014741",12,4
"NCT01019733",66,33
"NCT01023646",43,14.3333333333333
"NCT01028742",6,6
"NCT01029561",25,12.5
"NCT01030003",30,30
"NCT01034137",62,10.3333333333333
"NCT01034917",5,5
"NCT01041950",14,14
"NCT01046942",4,4
"NCT01051960",12,12
"NCT01057563",5,1.66666666666667
"NCT01058980",95,23.75
"NCT01060098",22,11
"NCT01061931",51,8.5
"NCT01067820",28,28
"NCT01069783",10,10
"NCT01075152",208,69.3333333333333
"NCT01081275",5,2.5
"NCT01081834",427,25.1176470588235
"NCT01083563",35,17.5
"NCT01087918",25,25
"NCT01088295",13,13
"NCT01088958",58,19.3333333333333
"NCT01090362",317,19.8125
"NCT01095770",1,1
"NCT01098045",23,11.5
"NCT01106014",188,37.6
"NCT01106196",39,39
"NCT01106625",387,22.7647058823529
"NCT01106677",505,26.5789473684211
"NCT01106690",349,24.9285714285714
"NCT01113047",1,1
"NCT01116856",27,3.375
"NCT01117181",45,45
"NCT01118962",5,5
"NCT01120366",27,13.5
"NCT01121029",8,8
"NCT01130948",28,9.33333333333333
"NCT01135212",7,3.5
"NCT01136785",13,13
"NCT01141166",6,3
"NCT01142726",87,29
"NCT01151137",137,68.5
"NCT01151189",44,44
"NCT01154478",26,13
"NCT01159639",16,4
"NCT01162759",42,42
"NCT01166243",13,6.5
"NCT01167153",7,7
"NCT01169454",8,8
"NCT01174056",4,4
"NCT01174550",455,26.7647058823529
"NCT01178060",18,18
"NCT01178073",214,71.3333333333333
"NCT01185080",6,6
"NCT01185392",38,19
"NCT01187056",11,3.66666666666667
"NCT01196819",16,5.33333333333333
"NCT01199042",3,3
"NCT01199939",6,6
"NCT01207089",1,1
"NCT01208025",6,1.5
"NCT01216579",13,4.33333333333333
"NCT01224535",13,13
"NCT01237197",39,39
"NCT01239693",208,12.2352941176471
"NCT01247545",276,92
"NCT01249404",7,7
"NCT01251367",7,7
"NCT01251822",19,19
"NCT01253811",1,1
"NCT01258673",8,4
"NCT01259219",15,15
"NCT01261325",56,9.33333333333333
"NCT01261390",29,14.5
"NCT01261767",6,6
"NCT01266694",9,9
"NCT01274182",17,17
"NCT01280123",65,32.5
"NCT01282242",20,10
"NCT01282996",255,127.5
"NCT01305785",58,9.66666666666667
"NCT01312233",22,7.33333333333333
"NCT01313819",9,9
"NCT01326650",31,15.5
"NCT01326949",17,8.5
"NCT01330238",17,8.5
"NCT01330381",14,7
"NCT01332175",40,10
"NCT01345409",27,13.5
"NCT01357343",0,0
"NCT01362738",53,53
"NCT01368614",4,4
"NCT01380080",20,20
"NCT01382134",3,3
"NCT01387035",13,13
"NCT01390727",1,1
"NCT01404195",17,8.5
"NCT01404312",49,24.5
"NCT01405976",41,6.83333333333333
"NCT01411371",97,97
"NCT01423188",27,27
"NCT01424553",2,2
"NCT01429948",5,5
"NCT01444430",17,17
"NCT01451203",37,18.5
"NCT01452750",14,14
"NCT01456260",14,14
"NCT01459900",3,3
"NCT01462344",15,15
"NCT01464788",9,9
"NCT01467206",7,7
"NCT01468974",3,3
"NCT01471795",49,24.5
"NCT01480271",7,7
"NCT01492725",1017,339
"NCT01504698",5,2.5
"NCT01505010",10,5
"NCT01505114",28,9.33333333333333
"NCT01505231",2,2
"NCT01505777",7,7
"NCT01507662",33,3.66666666666667
"NCT01508754",36,18
"NCT01514656",6,6
"NCT01515657",18,18
"NCT01522651",26,26
"NCT01527916",5,5
"NCT01538355",68,34
"NCT01538446",57,28.5
"NCT01543178",83,16.6
"NCT01549834",7,7
"NCT01551147",3,3
"NCT01556438",4,4
"NCT01558765",11,3.66666666666667
"NCT01563029",1,1
"NCT01570231",45,45
