"nct_id","pmid","reference_type"
"NCT01165710",27438106,"one-to-one"
"NCT01165710",26995367,"one-to-one"
"NCT01165710",26720750,"one-to-one"
"NCT01165710",26370445,"one-to-one"
"NCT01165710",25999401,"one-to-one"
"NCT01165710",25965712,"one-to-one"
"NCT01165710",25499873,"one-to-one"
"NCT01165710",24766985,"one-to-one"
"NCT01165710",24682387,"one-to-one"
"NCT01165710",24275632,"one-to-one"
"NCT01165710",23861512,"one-to-one"
"NCT01165710",21982650,"one-to-one"
"NCT01167634",27445325,"one-to-one"
"NCT01165385",28261651,"one-to-one"
"NCT01165996",25621498,"one-to-one"
"NCT01161719",23405952,"one-to-one"
"NCT01167751",29633605,"one-to-one"
"NCT01161381",26937681,"one-to-one"
"NCT01160874",25610980,"one-to-one"
"NCT01165034",25465642,"one-to-one"
"NCT01165034",22992240,"one-to-one"
"NCT01166139",28298564,"one-to-one"
"NCT01166139",26283632,"one-to-one"
"NCT01161537",28132845,"one-to-one"
"NCT01160471",23333188,"one-to-one"
"NCT01163266",26035185,"one-to-one"
"NCT01169454",23957382,"one-to-one"
"NCT01169103",24251951,"one-to-one"
"NCT01168128",24887445,"one-to-one"
"NCT01168128",22981532,"one-to-one"
"NCT01167582",23708168,"one-to-one"
"NCT01165528",23711230,"one-to-one"
"NCT01167101",22281110,"one-to-one"
"NCT01164683",23772186,"one-to-one"
"NCT01164319",21930653,"one-to-one"
"NCT01165866",21788756,"one-to-one"
"NCT01163214",24706022,"one-to-one"
"NCT01160770",27683846,"one-to-one"
"NCT01166438",27564385,"one-to-one"
"NCT01166438",26516810,"one-to-one"
"NCT01166438",23036134,"one-to-one"
"NCT01166438",22008247,"one-to-one"
"NCT02918097",28832750,"one-to-one"
"NCT02915913",29997519,"one-to-one"
"NCT02910778",29288055,"one-to-one"
"NCT02912338",29357826,"one-to-one"
"NCT02915354",28785857,"one-to-one"
"NCT02912624",28963297,"one-to-one"
"NCT02914795",30445678,"one-to-one"
"NCT02912780",28109276,"one-to-one"
"NCT00971750",23571143,"one-to-one"
"NCT00973063",21282693,"one-to-one"
"NCT00975793",25272316,"one-to-one"
"NCT00975793",24099368,"one-to-one"
"NCT00970489",30571332,"one-to-one"
"NCT00970489",29546292,"one-to-one"
"NCT00970489",25994442,"one-to-one"
"NCT00970489",24145742,"one-to-one"
"NCT00970489",23128104,"one-to-one"
"NCT00970489",21742090,"one-to-one"
"NCT00977080",24500308,"one-to-one"
"NCT00977080",24214232,"one-to-one"
"NCT00977080",22387567,"one-to-one"
"NCT00973024",27101815,"one-to-one"
"NCT00977925",26636489,"one-to-one"
"NCT00974779",22845695,"one-to-one"
"NCT00970905",28032216,"one-to-one"
"NCT00970554",20212198,"one-to-one"
"NCT00973141",27748055,"one-to-one"
"NCT00976521",28828881,"one-to-one"
"NCT00976521",25497252,"one-to-one"
